State Name,District Name,Dealer Type,Agency Name,Sub District Name,Village Name
West Bengal,Bankura,WHOLESALER,GELIA UNION LSPCACS LTD,Jaypur,
West Bengal,Bankura,WHOLESALER,Rahagram S.K.U.S Ltd,Jaypur,
West Bengal,Bankura,WHOLESALER,Narayan Chandra Garai,Bankura - I,
West Bengal,Bankura,WHOLESALER,PPL Bankura,Bankura - I,
West Bengal,Bankura,WHOLESALER,TALDANGRA SKUS LTD,Taldangra,
West Bengal,Bankura,WHOLESALER,JHANTIPAHARI LAMPS LTD,Chhatna,
West Bengal,Bankura,WHOLESALER,IFFDC,Chhatna,
West Bengal,Bankura,WHOLESALER,SANKHA GANGULY,Kotulpur,
West Bengal,Bankura,WHOLESALER,Subhajit Guin,Kotulpur,
West Bengal,Bankura,WHOLESALER,SUMANTA KUMAR NANDI,Indus,
West Bengal,Bankura,RETAILER,Taldangra Tcms Ltd,Taldangra,Taldangra
West Bengal,Bankura,RETAILER,Bikrampur Skus Ltd,Simlapal,Bikrampur
West Bengal,Bankura,RETAILER,Ghutghuria Skus,Barjora,
West Bengal,Bankura,RETAILER,Bhairabpur Skus,Barjora,Bhairabpur
West Bengal,Bankura,RETAILER,Chaka Skus Ltd,Raipur,Golor
West Bengal,Bankura,RETAILER,Sidi Skus,Raipur,
West Bengal,Bankura,RETAILER,Brahmandiha Skus Ltd,Sarenga,
West Bengal,Bankura,RETAILER,Jotebehar Skus Ltd,Indus,Jot Behar
West Bengal,Bankura,RETAILER,Deulbhira Skus Ltd,Taldangra,Deulbhira
West Bengal,Bankura,RETAILER,Hazrapukur Skus,Kotulpur,Hazra Pushkarini
West Bengal,Bankura,RETAILER,Jashdighi Skus Ltd,Indus,Jashdighi
West Bengal,Bankura,RETAILER,Puncha Skus,Onda,Puncha
West Bengal,Bankura,RETAILER,Jaganathpur Skus,Jaypur,Jagannathpur
West Bengal,Bankura,RETAILER,Gopinathpur Skus,Kotulpur,Gopinathpur
West Bengal,Bankura,RETAILER,Chorkola Ramdiha Skus,Kotulpur,Chorkola
West Bengal,Bankura,RETAILER,Ranikhamar Skus Ltd,Vishnupur,Dwarika
West Bengal,Bankura,RETAILER,Haludkanali (G) Skus Ltd,Ranibundh,Halud Kanali
West Bengal,Bankura,RETAILER,Badulara SKUS Ltd,Bankura - I,Badulara
West Bengal,Bankura,RETAILER,Galia Skus,Jaypur,Gelia
West Bengal,Bankura,RETAILER,Brindabanpur Skus,Barjora,Brindabanpur
West Bengal,Bankura,RETAILER,Gamidya Skus,Onda,Gamidya
West Bengal,Bankura,RETAILER,Krishnabati Skus Ltd,Patrasayer,Krishna Bati
West Bengal,Bankura,RETAILER,Kotalpur Tcms Ltd,Kotulpur,
West Bengal,Bankura,RETAILER,Sarada(Balitha) Skus,Kotulpur,Balitha
West Bengal,Bankura,RETAILER,Gopalnagar Hetagora Skus Ltd,Simlapal,
West Bengal,Bankura,RETAILER,Deshra L/S Pcas Ltd,Kotulpur,Deshra
West Bengal,Bankura,RETAILER,Khalogram Skus Ltd,Taldangra,Khalgram
West Bengal,Bankura,RETAILER,Khiraijuri Malindasi Skus Ltd,Bankura - II,Khiraijuri
West Bengal,Bankura,RETAILER,Deopara Skus,Kotulpur,Koalpara
West Bengal,Bankura,RETAILER,Shyamnagar Skus,Jaypur,Shyamnagar
West Bengal,Bankura,RETAILER,T. Salboni Skus Ltd,Raipur,Thakurabada
West Bengal,Bankura,RETAILER,Bhedua Skus Ltd,Taldangra,Bhedua
West Bengal,Bankura,RETAILER,Chaumachina Skus,Vishnupur,Joyrampur
West Bengal,Bankura,RETAILER,Bishnupur Thana Pry. L/S Cams,Vishnupur,Mayara Pukur
West Bengal,Bankura,RETAILER,Lakshmisagar L.S.P.C.A.C.S Ltd,Simlapal,Lakshmisagar
West Bengal,Bankura,RETAILER,Tilaboni Skus Ltd,Simlapal,Tilabani
West Bengal,Bankura,RETAILER,Bhagabanpur Skus,Sonamukhi,Dhan Simla
West Bengal,Bankura,RETAILER,Bantila Skus,Khatra,Bantilla
West Bengal,Bankura,RETAILER,Kalyani Skus Ltd,Indpur,
West Bengal,Bankura,RETAILER,Somsar Skus Ltd,Indus,Somsar
West Bengal,Bankura,RETAILER,Patit Skus Ltd,Patrasayer,Patit Dommahal
West Bengal,Bankura,RETAILER,Indas Tcms ,Indus,Indus
West Bengal,Bankura,RETAILER,Churamanipur Skus,Onda,Churamanipur
West Bengal,Bankura,RETAILER,Bhimara Keshatora Skus Ltd,Taldangra,Bhimara
West Bengal,Bankura,RETAILER,Kusumtikri Skus,Sarenga,Kusumtikri
West Bengal,Bankura,RETAILER,Ichharia Skus,Sonamukhi,Ichharia
West Bengal,Bankura,RETAILER,Bagsonda Skus Ltd,Ranibundh,Bag Sanda
West Bengal,Bankura,RETAILER,Agaya Skus Ltd,Sarenga,Agaya
West Bengal,Bankura,RETAILER,Krishnapur Skus,Sarenga,Krishnapur
West Bengal,Bankura,RETAILER,Sarenga Anchal Skus Ltd,Sarenga,Sarenga
West Bengal,Bankura,RETAILER,Manogram Rajaprasad Skus,Barjora,Managram
West Bengal,Bankura,RETAILER,Dhadkidihi Skus,Ranibundh,Dhadkidihi
West Bengal,Bankura,RETAILER,Agunkumari Skus Ltd,Vishnupur,Agun Kumari
West Bengal,Bankura,RETAILER,Layer Skus,Vishnupur,Joykrishnapur
West Bengal,Bankura,RETAILER,Dibakarbati Skus Ltd,Indus,Dibakar Bati
West Bengal,Bankura,RETAILER,Jhantipahari Lamps Ltd.,Chhatna,
West Bengal,Bankura,RETAILER,Mirjapur Netaji Janakalyan Sku,Kotulpur,Bramhanairi
West Bengal,Bankura,RETAILER,Bheduashole Uttaranchal Skus L,Indpur,Bheduasol
West Bengal,Bankura,RETAILER,Chak Patrasayer Skus Ltd,Patrasayer,Chak Patra Saer
West Bengal,Bankura,RETAILER,Belut Rasulpur Skus Ltd,Patrasayer,Belut
West Bengal,Bankura,RETAILER,Dighi Bhagra Skus Ltd,Sarenga,
West Bengal,Bankura,RETAILER,Sihore L.S. Pcas Ltd,Kotulpur,Sihar
West Bengal,Bankura,RETAILER,Andharia Skus,Sarenga,Andharia
West Bengal,Bankura,RETAILER,Darapur Skus,Kotulpur,Darapur
